Na2O,MgO,Al2O3,SiO2,P2O5,SO3,Cl,K2O,CaO,TiO2,Cr2O3,MnO,FeO,Ni,Zn,Br,Filename,Sol
2.47,7.41,9.37,45.04,0.94,6.68,0.94,0.78,5.01,1.11,0.31,0.37,19.25,0.0485,0.1434,0.0138,apb_468950955rwp08050441282_______p1.csv,805
2.64,7.2,9.98,47.54,0.98,7.07,0.89,0.79,5.05,1.15,0.32,0.23,15.7,0.0403,0.1577,0.0121,apb_468952802rwp08050441282_______p1.csv,805
2.77,5.06,10.55,51.61,1.02,4.93,0.52,0.85,4.02,1.11,0.35,0.32,16.59,0.0487,0.1607,0.0097,apb_468994688rwp08050441282_______p1.csv,805
2.83,4.93,10.37,51.5,1.37,3.57,0.54,0.98,3.79,1.11,0.35,0.5,17.85,0.0561,0.1558,0.0139,apb_469083606rwp08060441282_______p1.csv,806
2.66,5.96,11.22,47.8,1.25,9.58,1.02,0.74,4.16,1.07,0.29,0.28,13.52,0.126,0.1802,0.0097,apb_469247449rwp08080441432_______p1.csv,808
2.81,5.41,11.77,50.09,1.3,8.06,0.95,0.65,4.12,1.07,0.34,0.3,12.74,0.1007,0.1855,0.0091,apb_469266546rwp08090441432_______p1.csv,809
2.69,4.76,12.41,50.88,1.35,6.2,0.64,0.68,4.27,1.04,0.38,0.33,13.94,0.0887,0.1699,0.008,apb_469336309rwp08090441432_______p1.csv,809
2.67,7.49,10.2,46.52,1.06,7.38,0.95,0.63,5.51,1.2,0.37,0.35,15.31,0.1017,0.165,0.0124,apb_469426907rwp08100441432_______p1.csv,810
2.84,4.47,12.41,51.84,1.44,5.84,0.52,0.65,4.29,1.07,0.39,0.33,13.51,0.0839,0.1737,0.0085,apb_469359455rwp08100441432_______p1.csv,810
2.66,8.39,9.61,43.34,1.2,13.51,1.1,0.55,5.59,1.09,0.35,0.33,11.67,0.337,0.1653,0.015,apb_469447387rwp08110441432_______p1.csv,811
2.69,5.64,12.25,52.98,1.24,5.17,1.04,0.75,3.97,1.01,0.44,0.28,12.17,0.09,0.1583,0.0456,apb_469690498rwp08130441546_______p1.csv,813
2.75,5.44,12.54,51.96,1.03,4.66,0.76,0.75,3.78,1.11,0.42,0.27,14.14,0.0764,0.1525,0.0736,apb_469779152rwp08140441546_______p1.csv,814
2.75,5.4,12.15,52.85,1.33,4.33,0.92,0.76,4.09,1.06,0.38,0.3,13.28,0.0786,0.1545,0.0494,apb_469711463rwp08140441546_______p1.csv,814
2.8,5.72,11.66,52.6,1.11,4.03,0.63,0.75,4.21,1.11,0.36,0.29,14.37,0.0615,0.1524,0.0516,apb_469868305rwp08150441546_______p1.csv,815
2.75,5.09,13.22,53.01,1.12,4.06,0.76,0.81,3.58,1.07,0.42,0.26,13.47,0.0761,0.1535,0.0728,apb_469797671rwp08150441546_______p1.csv,815
2.85,5.01,12.72,55.8,1.15,3.26,0.48,0.8,3.77,1.1,0.37,0.27,11.99,0.0638,0.1675,0.0686,apb_469885248rwp08150441546_______p1.csv,815
2.85,4.44,11.56,53.6,1.19,3.81,0.31,0.77,4.23,0.98,0.35,0.31,15.31,0.0437,0.1391,0.0032,apb_470254694rwp08200441828_______p1.csv,820
2.76,5.34,11.18,52,1.16,4.77,0.56,0.73,4.41,0.96,0.36,0.31,15.19,0.0562,0.1367,0.0037,apb_470342240rwp08210441828_______p1.csv,821
2.73,4.92,10.76,52.98,1.15,4.46,0.5,0.76,4.09,0.97,0.33,0.28,15.81,0.0531,0.1214,0.0014,apb_470682244rwp08240441828_______p1.csv,824
2.53,5.31,10.31,53.01,1.11,4.78,0.57,0.76,4.3,1,0.33,0.25,15.47,0.0521,0.1254,0.0045,apb_470664888rwp08240441828_______p1.csv,824
2.77,5.22,11.32,52.77,1.03,3.41,0.87,0.76,4.08,1.11,0.37,0.26,15.67,0.0733,0.1162,0.095,apb_471034304rwp08280442062_______p1.csv,828
2.48,5.74,10.43,50.27,0.85,6.97,0.88,0.72,5.06,0.98,0.38,0.22,14.72,0.0847,0.1317,0.0328,apb_471214140rwp08300442062_______p1.csv,830
2.46,6.18,9.8,47.55,0.93,8.69,0.94,0.67,6.12,0.96,0.4,0.22,14.75,0.0826,0.1131,0.0451,apb_471303683rwp08310442062_______p1.csv,831
2.58,7.25,9.64,48.35,0.95,6.48,1.26,0.7,5.04,1.03,0.39,0.25,15.76,0.0816,0.1208,0.0492,apb_471479069rwp08330442062_______p1.csv,833
2.42,6.04,8.78,39.78,0.89,9.08,1.45,0.24,12.7,0.84,0.13,0.38,17.05,0.051,0.0862,0.0323,apb_472281295rwp08420442414_______p1.csv,842
3.41,3.76,9.54,53.5,2.32,3.03,0.82,0.96,3.33,1.25,0.38,0.12,17.24,0.0327,0.0584,0.0455,apb_472443217rwp08440442414_______p1.csv,844
3.66,3,9.58,53.71,2.51,2.22,0.7,1.01,2.88,1.28,0.36,0.15,18.67,0.0396,0.0691,0.0357,apb_472461573rwp08450442414_______p1.csv,845
3.02,6.66,9.52,42.84,1.06,4.58,2.01,0.46,8.75,1.04,0.17,0.38,19.17,0.0494,0.0925,0.0654,apb_473253778rwp08530442414_______p1.csv,853
2.46,7.04,9.52,42.49,0.93,4.86,1.17,0.45,9.04,1.01,0.41,0.44,19.83,0.0544,0.0776,0.0265,apb_473345233rwp08540442414_______p1.csv,854
2.59,6.35,10.45,43.36,0.74,5.17,1.73,0.36,12.19,0.61,0.23,0.38,15.6,0.0673,0.094,0.022,apb_473327513rwp08540442414_______p1.csv,854
2.53,4.41,12.61,48.57,1.45,6.73,0.47,0.74,4.63,1.14,0.45,0.33,15.48,0.096,0.174,0.0049,apb_474498678rwp08670450000_______p1.csv,867
2.78,4.53,12.92,50.24,1.51,6.76,0.43,0.66,4.19,1.07,0.41,0.32,13.79,0.0946,0.1702,0.0038,apb_474855791rwp08710450000_______p1.csv,871
3.06,3.87,12.33,50.63,1.48,5.01,0.77,0.74,4.47,1.2,0.41,0.37,15.08,0.0854,0.2472,0.0066,apb_475740451rwp08810450000_______p1.csv,881
2.74,4.96,11.59,50.87,1.45,7.11,0.88,0.69,4.34,1.08,0.34,0.34,13.21,0.0796,0.2131,0.007,apb_475663478rwp08810450000_______p1.csv,881
2.99,4.47,11.88,51.29,1.42,5.32,0.53,0.63,4.52,1.18,0.37,0.38,14.59,0.0853,0.2198,0.005,apb_476006877rwp08840450000_______p1.csv,884
2.42,6.06,8.99,40.78,1.21,15.78,0.93,0.47,9.2,0.95,0.37,0.27,12.24,0.0778,0.1544,0.0094,apb_476454474rwp08890450000_______p1.csv,889
2.42,5.87,10.65,48.29,1.37,7.53,1.07,0.65,4.98,1.02,0.38,0.31,15.05,0.0619,0.2161,0.0141,apb_476438127rwp08890450000_______p1.csv,889
3,4.69,11.49,49.92,1.28,6.19,0.46,0.73,4.45,1.1,0.36,0.36,15.48,0.0898,0.1972,0.0057,apb_476380933rwp08890450000_______p1.csv,889
3.01,4.55,11.43,49.48,1.29,6.27,0.43,0.73,4.33,1.19,0.37,0.38,16.11,0.1032,0.2204,0.0065,apb_476905000rwp08950450000_______p1.csv,895
3.18,3.4,9.89,54.07,1.52,2.8,0.36,0.93,3.81,1.14,0.34,0.15,18.19,0.0282,0.0973,0.0122,apb_477874429rwp09050450450_______p1.csv,905
0.85,4.48,8.03,56.09,0.09,2.86,0.46,0.98,4.21,0.63,0.46,0.59,18.69,0.0446,0.1137,0.005,apb_477848671rwp09050450450_______p1.csv,905
3.56,3.04,11.06,51.87,1.27,1.85,0.34,0.97,4.03,1.28,0.4,0.22,19.85,0.0423,0.1212,0.0093,apb_479382097rwp09220450450_______p1.csv,922
1.5,5.65,5.29,30.93,0.88,12.18,1.66,0.09,25.26,0.52,0.19,0.87,14.61,0.0559,0.1938,0.0189,apb_480093481rwp09300450852_______p1.csv,930
1.36,3.72,2.73,12.65,0.51,39.07,0.88,0.07,32.44,0.17,0.13,0.3,5.83,0.0057,0.049,0.0051,apb_480530996rwp09350450852_______p1.csv,935
1.34,5.4,4.1,28.27,1.01,23.71,1.28,0.2,21.5,0.47,0.15,0.51,11.82,0.0397,0.0975,0.0217,apb_480534692rwp09350450852_______p1.csv,935
1.52,5.78,5.01,28.99,0.71,10.95,1.69,0.12,28.7,0.5,0.19,1,14.28,0.0483,0.2253,0.0112,apb_480529147rwp09350450852_______p1.csv,935
1.51,5.44,5.18,32.2,0.87,12.35,1.56,0.1,25.15,0.45,0.26,0.89,13.66,0.0504,0.1991,0.0223,apb_480532845rwp09350450852_______p1.csv,935
1.33,3.95,2.92,14.41,0.64,40.78,0.72,0.11,29.71,0.18,0.11,0.1,4.91,0.0142,0.052,0.0076,apb_480554805rwp09360450852_______p1.csv,936
2.95,5.75,9.34,48.99,1.33,6.71,0.64,0.77,5.34,1.16,0.34,0.21,16.23,0.051,0.0673,0.0258,apb_480627958rwp09360450852_______p1.csv,936
1.93,5.58,5.37,25.2,0.91,29.58,0.73,0.25,20.58,0.52,0.22,0.16,8.78,0.0207,0.0194,0.0109,apb_480701726rwp09370450852_______p1.csv,937
1.25,5.83,4.74,26.99,0.71,19.22,1.5,0.07,25.23,0.46,0.2,0.49,12.94,0.0463,0.2033,0.015,apb_480703822rwp09370450852_______p1.csv,937
1.44,5.31,4.97,28.05,0.84,21.04,1.69,0.05,19.35,0.45,0.21,0.84,15.35,0.0419,0.1681,0.0133,apb_480705676rwp09370450852_______p1.csv,937
4.03,3.95,11.21,49.78,0.76,2.29,0.7,2.83,5.71,0.99,0.28,0.25,16.99,0.0629,0.0609,0.0077,apb_481157517rwp09420450996_______p1.csv,942
1.47,8.54,4.88,35.53,1.44,15.31,1.34,0.69,13.69,0.62,0.25,0.23,15.71,0.0549,0.0894,0.0308,apb_481682488rwp09480451108_______p1.csv,948
1.9,4.86,4.64,47.59,2.72,7.72,1.43,1.17,2.87,0.59,0.63,0.15,23.42,0.031,0.043,0.0479,apb_481703738rwp09490451108_______p1.csv,949
3.34,2.93,10.74,52.7,1.33,2.54,0.3,0.98,4.37,1.23,0.36,0.22,18.68,0.0515,0.1232,0.0039,apb_482224066rwp09540460000_______p1.csv,954
2.86,7.89,9.24,44.3,0.92,5.2,0.74,0.83,6.46,1.08,0.47,0.37,19.48,0.0525,0.0419,0.0039,apb_482310543rwp09550460000_______p1.csv,955
2.89,8.13,10.32,44.07,0.98,4.87,1.2,0.6,6.08,0.95,0.32,0.47,18.95,0.0404,0.064,0.0157,apb_483998636rwp09740470598_______p1.csv,974
2.5,7.71,8.84,38.69,0.9,6.62,1.71,0.49,5.09,0.95,0.26,0.46,25.58,0.0471,0.0843,0.0189,apb_484092240rwp09760470598_______p1.csv,976
2.86,5.39,8.66,53.79,1.53,4.46,0.66,0.82,4.28,1.29,0.33,0.18,15.5,0.0231,0.1142,0.0294,apb_485316886rwp09890480458_______p1.csv,989
2.69,8.41,10.44,44.72,0.94,6.46,1.22,0.44,6.63,1.05,0.7,0.32,15.84,0.0396,0.0432,0.0076,apb_486128635rwp09980481570_______p1.csv,998
2.96,4.32,7.71,62.99,2.39,5.47,0.8,0.97,3.78,1.55,0.08,0.07,6.62,0.0115,0.0119,0.0764,apb_486218995rwp09990481570_______p1.csv,999
2.16,5.86,6.18,52.73,1.05,12.56,1,0.43,6.57,0.92,0.38,0.09,9.81,0.0201,0.0234,0.0429,apb_488786960rwp10280481570_______p1.csv,1028
2.39,6.21,6.7,53.26,1.11,10.53,1.11,0.5,5.36,1.09,0.5,0.1,10.85,0.0281,0.0284,0.0507,apb_488785096rwp10280481570_______p1.csv,1028
2.34,6.16,6.53,53.13,1.19,11.05,1.03,0.5,5.55,1.09,0.46,0.09,10.71,0.0224,0.0265,0.0514,apb_488809035rwp10290481570_______p1.csv,1029
2.46,4.14,6.88,58.78,1.65,9.18,0.94,0.44,5.95,1.13,0.45,0.08,7.71,0.0122,0.021,0.0601,apb_489150956rwp10330481600_______p1.csv,1033
2.12,3.26,5.01,72.56,1.41,6.62,0.58,1.3,2.71,1.48,0.03,0.02,2.68,0.012,0.0027,0.0106,apb_489946516rwp10410481970_______p1.csv,1041
2.36,4.88,6.84,62.51,1.22,8.77,0.88,0.8,4.9,1.48,0.1,0.09,4.96,0.0151,0.0179,0.0055,apb_491355877rwp10570482542_______p1.csv,1057
2.15,3.45,6.09,68.09,1.32,7.21,0.71,0.82,3.87,1.51,0.1,0.06,4.4,0.011,0.0206,0.0058,apb_491372464rwp10580482542_______p1.csv,1058
1.97,0.46,5.36,71.47,1.37,7.68,0.29,0.8,4.81,1.7,0.06,0.05,3.77,0.0087,0.0212,0.0038,apb_491545899rwp10590482542_______p1.csv,1059
1.87,1.93,4.75,72.5,1.29,7.55,0.34,1,2.42,1.65,0.05,0.05,4.42,0.01,0.0208,0.0055,apb_492003117rwp10650482542_______p1.csv,1065
2.01,0.72,5.45,74.43,1.29,4.85,0.28,0.99,2.99,1.66,0.08,0.07,4.94,0.012,0.0294,0.006,apb_492079999rwp10660482542_______p1.csv,1066
3.43,7.8,10.44,45.65,0.78,2.62,0.52,1.36,7.08,0.85,0.5,0.34,18.47,0.0351,0.0546,0.0024,apb_493587808rwp10820491216_______p1.csv,1082
2.1,1.53,6.06,68.07,1.17,4.6,0.35,0.86,3.35,1.43,0.2,0.14,9.87,0.025,0.0351,0.0102,apb_494212310rwp10900491876_______p1.csv,1090
2.57,4.47,6.07,61.04,2.51,6.51,2.01,0.55,3.74,1.29,0.23,0.02,8.6,0.0086,0.004,0.049,apb_494375951rwp10910491876_______p1.csv,1091
2.63,8.84,9.31,43.87,0.95,5.63,1.08,0.45,6.49,0.94,0.47,0.35,18.82,0.0539,0.0351,0.0096,apb_494468585rwp10920491876_______p1.csv,1092
2.08,0.82,5.66,73.65,1.25,4.8,0.29,0.96,3.05,1.57,0.1,0.06,5.49,0.0133,0.0327,0.0059,apb_494397188rwp10920491876_______p1.csv,1092
2.2,4.17,4.11,62.07,2.28,11.04,0.98,0.42,5.23,1.48,0.1,0.01,5.65,0.0048,0.0033,0.0546,apb_494485491rwp10930491876_______p1.csv,1093
2.78,8.17,11.32,43.39,0.88,5.66,1.56,0.48,5.98,0.96,0.48,0.3,17.83,0.0502,0.0478,0.0126,apb_494920720rwp10970492236_______p1.csv,1097
3.25,8.42,8.86,43.57,0.74,5.08,1.52,0.93,5.86,0.89,0.39,0.4,19.87,0.0485,0.0449,0.0277,apb_495365598rwp11030492902_______p1.csv,1103
2.6,6.38,8.93,47.14,1.21,5.99,0.68,0.79,5.65,1.06,0.32,0.35,18.51,0.0662,0.142,0.019,apb_495631705rwp11060500000_______p1.csv,1106
2.1,5.07,6.14,53.1,1.03,8.15,0.84,0.73,4.57,1.12,0.28,0,16.57,0.0334,0.0567,0.0453,apb_495975341rwp11090500322_______p1.csv,1109
1.75,3.56,3.45,66.83,1.93,9.55,0.81,0.84,3.4,1.31,0.2,0.03,6.08,0.0079,0.0404,0.0627,apb_495991759rwp11100500322_______p1.csv,1110
2.68,8.82,9.38,43.96,0.87,5.93,1.18,0.43,6.36,0.96,0.42,0.33,18.44,0.044,0.0296,0.0237,apb_496412533rwp11140500592_______p1.csv,1114
2.79,8.52,9.71,43.4,0.94,6.88,1.27,0.47,6.87,0.93,0.42,0.31,17.36,0.0411,0.0273,0.0205,apb_496430254rwp11150500592_______p1.csv,1115
3.23,8.23,12.41,42.14,0.8,3.42,1.21,0.51,6.79,0.92,0.38,0.28,19.5,0.0466,0.0314,0.0371,apb_496612918rwp11170500592_______p1.csv,1117
3,8.05,11.3,41.7,0.73,5.57,0.79,0.49,7.42,0.9,0.45,0.29,19.14,0.0466,0.0292,0.03,apb_497241544rwp11240500592_______p1.csv,1124
2.71,8.54,9.57,43.66,0.89,6,1.36,0.42,6.53,0.92,0.4,0.26,18.51,0.0427,0.031,0.0309,apb_497317565rwp11240500592_______p1.csv,1124
3.15,6.88,12.18,45.19,0.84,4.61,0.84,0.5,6.77,0.95,0.4,0.24,17.22,0.0386,0.0306,0.0301,apb_497504742rwp11270500592_______p1.csv,1127
2.53,4.77,5.48,56.23,1.24,10.78,1.54,0.44,5.98,1,0.34,0.03,9.43,0.016,0.0107,0.0336,apb_497862255rwp11310500676_______p1.csv,1131
3.08,7.49,11.52,42.95,0.72,3.35,0.73,0.46,6.12,1,0.51,0.27,21.55,0.0543,0.0377,0.0377,apb_498036607rwp11330500676_______p1.csv,1133
1.96,0.99,1.27,63.59,1.84,13.1,0.82,0.23,6.58,1.14,0.31,0.01,7.96,0.0101,0.0094,0.0545,apb_498214247rwp11350500676_______p1.csv,1135
2.4,5.6,5.42,58.76,1.09,10.72,1.11,0.41,5.74,1.14,0.32,0.04,7.04,0.0125,0.0128,0.0362,apb_498977184rwp11430500676_______p1.csv,1143
2.15,1.47,2.86,59.15,1.56,13.07,0.54,0.29,7.1,0.91,0.28,0.02,10.39,0.0183,0.0093,0.0441,apb_498927876rwp11430500676_______p1.csv,1143
2.33,2.11,3.98,53.88,1.34,13.38,0.49,0.3,8.29,0.95,0.33,0.04,12.44,0.0233,0.0133,0.022,apb_499012380rwp11440500676_______p1.csv,1144
2.58,9.25,8.7,44.45,0.72,3.89,1.59,0.32,6.13,0.89,0.43,0.2,20.52,0.0407,0.0353,0.0109,apb_499621494rwp11500501116_______p1.csv,1150
2.73,9.54,8.84,44.49,0.78,3.96,1.65,0.29,6.15,0.87,0.43,0.3,19.76,0.0428,0.0417,0.024,apb_499610416rwp11500501116_______p1.csv,1150
2.56,10.12,8.79,44.61,0.76,4.9,1.33,0.31,5.51,0.87,0.41,0.32,19.36,0.0456,0.0325,0.0192,apb_499639563rwp11510501116_______p1.csv,1151
2.55,4.94,9.26,50.7,0.53,6.28,0.72,0.98,4.81,1.02,0.3,0.14,17.42,0.0764,0.121,0.0072,apb_500231683rwp11570501928_______p1.csv,1157
2.53,4.55,9.23,52.45,0.48,5.46,0.71,1.05,4.45,1.03,0.31,0.14,17.28,0.0816,0.1303,0.0072,apb_500251788rwp11580501928_______p1.csv,1158
2.71,5.62,9.31,51.24,0.74,4.92,1.38,0.93,4.02,1.06,0.3,0.33,17.17,0.1158,0.1088,0.0352,apb_501043246rwp11660503076_______p1.csv,1166
2.55,9.85,8.46,44.48,0.86,3.61,0.64,0.39,6.81,0.96,0.3,0.38,20.61,0.0822,0.0209,0.006,apb_502441474rwp11820511298_______p1.csv,1182
2.74,8.98,9.83,45.69,0.77,3.19,0.51,0.43,7.29,0.89,0.43,0.41,18.83,0.0496,0.0197,0.0032,apb_502475789rwp11830511298_______p1.csv,1183
2.27,9.97,8.49,44.56,0.76,3.28,0.51,0.35,7.04,0.9,0.53,0.4,20.76,0.049,0.0228,0.002,apb_502623808rwp11840511430_______p1.csv,1184
3.22,7.46,10.87,48.11,1,4.07,0.72,0.56,6.55,0.82,0.2,0.34,16.02,0.0511,0.0191,0.0103,apb_502653770rwp11850511430_______p1.csv,1185
2.44,7.48,9.05,44.7,1.23,10.35,1.03,0.67,5.04,0.92,0.27,0.21,16.19,0.1934,0.0999,0.0266,apb_503245770rwp11910512004_______p1.csv,1191
2.64,7.69,9.45,46.29,1.14,7.41,1.12,0.6,5.57,1.03,0.3,0.27,16.27,0.0671,0.1024,0.0147,apb_503273880rwp11920512004_______p1.csv,1192
2.54,2.37,4.34,52.89,1.22,11.76,0.45,0.33,7.66,1.05,0.44,0.15,14.71,0.0282,0.0154,0.0242,apb_504224816rwp12020520000_______p1.csv,1202
2.43,1.81,3.92,53.24,1.15,11.92,0.46,0.3,7.8,1,0.45,0.14,15.25,0.0293,0.0162,0.0228,apb_504242829rwp12030520000_______p1.csv,1203
2.67,8.36,10.01,48.15,0.75,2.82,0.5,0.48,7.2,0.84,0.32,0.37,17.5,0.0504,0.019,0.0037,apb_506107156rwp12240521162_______p1.csv,1224
2.35,9.32,9.16,45.74,0.73,2.87,0.49,0.39,7.13,0.84,0.47,0.39,19.97,0.0528,0.0202,0.0028,apb_506286862rwp12260521162_______p1.csv,1226
2.75,7.57,9.78,47.88,0.79,3.36,0.5,0.49,7.3,0.88,0.39,0.37,17.91,0.0439,0.0203,0.0025,apb_506376253rwp12270521162_______p1.csv,1227
2.43,11.46,8.46,45.85,0.7,2.29,0.4,0.35,6.55,0.71,0.3,0.42,20.08,0.0795,0.0129,0.0037,apb_506738891rwp12310521162_______p1.csv,1231
2.27,11.24,8.33,45.53,0.75,2.57,0.44,0.38,7,0.75,0.28,0.38,20.02,0.0753,0.0141,0.0054,apb_507704223rwp12410521162_______p1.csv,1241
1.72,11.5,7.88,46.24,0.78,2.92,0.5,0.4,6.68,0.68,0.24,0.43,19.82,0.0696,0.0152,0.0081,apb_507769602rwp12420521162_______p1.csv,1242
1.87,11.71,8.15,45.42,0.72,2.57,0.44,0.37,6.88,0.74,0.32,0.36,20.3,0.0732,0.015,0.003,apb_507796644rwp12430521162_______p1.csv,1243
2.43,5.53,8.77,48.88,0.9,6.36,0.8,1.15,4.19,0.92,0.25,0.25,19.17,0.1143,0.0853,0.018,apb_508039461rwp12450521370_______p1.csv,1245
2.42,5.11,8.48,46.48,0.76,9.71,0.81,1.09,5.9,0.95,0.27,0.17,17.58,0.0978,0.0866,0.0159,apb_508066384rwp12460521370_______p1.csv,1246
2.23,5.99,8.5,46.64,0.97,9.9,1.24,1.04,4.86,0.93,0.28,0.15,16.96,0.0861,0.0569,0.0339,apb_508598326rwp12520522388_______p1.csv,1252
2.73,7.79,10.21,48.31,0.82,3.18,0.55,0.51,7.27,0.81,0.38,0.34,16.92,0.0407,0.0192,0.0032,apb_508749900rwp12530522388_______p1.csv,1253
2.55,5.93,8.99,49.2,0.75,6.34,1.08,0.92,4.22,1.04,0.29,0.18,18.15,0.0856,0.0572,0.0117,apb_508755716rwp12530522388_______p1.csv,1253
2.29,10.31,7.98,46.13,0.74,3.3,0.62,0.44,6.19,0.78,0.3,0.35,20.46,0.0822,0.0274,0.0097,apb_508773767rwp12540522388_______p1.csv,1254
2.5,6.8,8.49,46.74,0.99,8.58,1.18,0.95,4.45,0.94,0.24,0.27,17.53,0.0914,0.0829,0.0402,apb_509280049rwp12590522678_______p1.csv,1259
2.61,6.08,9.07,48.52,0.83,7.47,0.82,0.85,4.53,0.99,0.3,0.28,17.33,0.1031,0.1053,0.0464,apb_509311735rwp12600522678_______p1.csv,1260
2.58,5.94,9.02,50.29,0.83,4.68,1.02,1.08,4.35,1,0.28,0.26,18.3,0.0788,0.0967,0.0431,apb_509906483rwp12660530186_______p1.csv,1266
2.59,5.13,9.36,51.7,0.66,5.21,0.96,1.22,4.41,1.04,0.29,0.26,16.94,0.072,0.0892,0.025,apb_509933572rwp12670530186_______p1.csv,1267
2.56,5.7,9.71,48.6,1.09,5.24,1,1.03,5.21,0.94,0.26,0.16,18.04,0.074,0.1559,0.0425,apb_510519457rwp12730530636_______p1.csv,1273
2.69,5.78,10.38,50.71,1.03,4.09,0.88,1.12,4.85,1.05,0.35,0.12,16.56,0.0884,0.1854,0.0445,apb_510542841rwp12730530636_______p1.csv,1273
1.59,3.99,3.57,14.89,0.78,40.32,0.6,0.13,29.39,0.22,0.12,0.1,4.21,0.0303,0.0243,0.0026,apb_510706110rwp12750531056_______p1.csv,1275
2.55,5.03,9.59,52.19,0.85,4.1,0.56,1.06,3.94,1.05,0.32,0.3,18.17,0.0635,0.1713,0.0045,apb_510724342rwp12760531056_______p1.csv,1276
2.71,8.77,9,41.63,0.83,6.91,0.91,0.51,7.19,0.94,0.42,0.36,19.65,0.0439,0.0397,0.0195,apb_510876409rwp12770531182_______p1.csv,1277
2.62,8.68,8.55,43.04,0.94,6.64,0.97,0.48,6.72,1.01,0.49,0.38,19.32,0.0427,0.0462,0.039,apb_510885311rwp12770531182_______p1.csv,1277
2.48,10.34,7.97,39.76,0.86,12.07,1.15,0.41,6.78,0.81,0.36,0.35,16.47,0.0436,0.0349,0.0414,apb_510978646rwp12780531182_______p1.csv,1278
2.54,10.21,7.97,40.08,0.85,11.72,1.08,0.42,6.81,0.85,0.38,0.35,16.59,0.0387,0.0334,0.0388,apb_510966402rwp12780531182_______p1.csv,1278
2.58,9.2,8.58,41.63,0.88,8.86,0.95,0.46,7.07,0.88,0.4,0.35,17.98,0.0426,0.0335,0.0235,apb_510906762rwp12780531182_______p1.csv,1278
2.48,10.43,7.7,39.27,0.86,12.73,1.16,0.43,6.75,0.83,0.4,0.35,16.46,0.0404,0.0362,0.044,apb_510997022rwp12790531182_______p1.csv,1279
2.77,8.83,9.15,40.98,0.94,7.5,0.97,0.54,7.24,0.93,0.33,0.39,19.19,0.0424,0.0635,0.0232,apb_511061899rwp12790531182_______p1.csv,1279
2.74,8.68,8.98,41.54,0.94,6.92,0.97,0.49,7.15,0.98,0.32,0.4,19.71,0.0475,0.0582,0.0206,apb_511080071rwp12800531182_______p1.csv,1280
2.66,8.84,8.88,40.83,0.95,7.86,0.99,0.49,7.21,0.96,0.32,0.39,19.43,0.0468,0.0602,0.0274,apb_511175111rwp12810531182_______p1.csv,1281
2.3,6.15,5.96,31.58,0.78,23.2,1.07,0.3,15.89,0.58,0.21,0.27,11.54,0.0273,0.0192,0.0227,apb_511766477rwp12870531994_______p1.csv,1287
2.56,9.53,10.48,43.67,0.8,4.73,1.51,0.38,5.92,0.87,0.46,0.4,18.56,0.064,0.0217,0.0178,apb_511789511rwp12880531994_______p1.csv,1288
2.63,9.8,8.18,41.96,0.89,7.17,1.11,0.35,6.33,0.88,0.39,0.4,19.75,0.0589,0.0276,0.0187,apb_512327157rwp12940532406_______p1.csv,1294
2.99,7.18,8.93,45.03,0.84,8.62,1.21,0.48,7.52,0.88,0.43,0.27,15.52,0.0323,0.0189,0.0125,apb_512940970rwp13000532980_______p1.csv,1300
2.48,5.4,5.55,58.04,0.99,11.15,1.38,0.47,6.97,1.16,0.43,0.12,5.72,0.0101,0.014,0.0476,apb_512918765rwp13000532980_______p1.csv,1300
3,6.1,8.7,50.12,1.01,5.94,1.84,0.57,5.73,0.95,0.38,0.2,15.36,0.0238,0.0232,0.0101,apb_514079145rwp13130540388_______p1.csv,1313
2.16,4.44,4.21,66.61,1.7,7.84,1.23,0.33,3.85,1.34,0.4,0.07,5.68,0.0053,0.009,0.0161,apb_514110415rwp13140540388_______p1.csv,1314
3.04,6.23,8.85,49.03,0.91,6.58,2.08,0.49,6.56,0.93,0.38,0.26,14.57,0.0248,0.0249,0.0076,apb_514188401rwp13150540388_______p1.csv,1315
2.63,5.22,5.95,54.58,1.18,11.9,1.9,0.47,7.54,1.01,0.41,0.12,6.9,0.0112,0.0112,0.0355,apb_514520450rwp13180540746_______p1.csv,1318
2.67,3.9,5.78,54.86,1.06,11.2,2.15,0.43,6.57,0.91,0.34,0.1,9.82,0.0171,0.0097,0.0214,apb_514537963rwp13180540746_______p1.csv,1318
2.07,5.15,5.6,57.99,0.9,11.32,1.71,0.46,6.97,1.02,0.42,0.05,5.83,0.0091,0.0085,0.0411,apb_514512188rwp13180540746_______p1.csv,1318
2.39,3.91,4.41,63.51,1.53,9.52,2.62,0.5,4.88,1.13,0.35,0.09,5.06,0.0077,0.0095,0.0446,apb_514609295rwp13190540746_______p1.csv,1319
2.49,3.96,4.35,63.1,1.5,9.62,2.68,0.49,5.01,1.12,0.37,0.08,5.1,0.0076,0.0104,0.0442,apb_514636678rwp13200540746_______p1.csv,1320
1.59,1.06,2.12,63.58,1.49,15.07,0.31,0.29,8.58,1.07,0.34,0.06,4.31,0.0043,0.0078,0.0083,apb_515081203rwp13250540746_______p1.csv,1325
1.92,1.55,3.09,59.75,1.33,13.69,0.32,0.31,8.22,1.11,0.29,0.09,8.22,0.0111,0.0089,0.006,apb_515246696rwp13260540746_______p1.csv,1326
