Na2O,MgO,Al2O3,SiO2,P2O5,SO3,Cl,K2O,CaO,TiO2,Cr2O3,MnO,FeO,Ni,Zn,Br,Filename,Sol
2.04,6.78,8.34,43.89,0.87,5.64,1.05,0.61,6.19,1.28,0.34,0.32,22.34,0.061,0.0701,0.042,apa_412492605rwp01690060000_______p1.csv,169
2.73,7.84,9.16,46.8,0.87,1.05,1,0.72,5.47,1.22,0.33,0.29,22.23,0.049,0.064,0.0353,apa_412533015rwp01690060000_______p1.csv,169
2.6,7.74,9.02,47.78,0.86,1.18,1.06,0.77,5.38,1.23,0.34,0.28,21.48,0.0462,0.0626,0.0323,apa_412885867rwp01730060000_______p1.csv,173
2.55,7.49,8.86,44.39,0.62,3.43,0.81,0.69,6.3,1.32,0.34,0.3,22.51,0.0502,0.066,0.0335,apa_413593153rwp01810060000_______p1.csv,181
2.45,6.81,8.38,42.43,0.68,6.01,0.46,0.62,8.06,1.28,0.31,0.27,21.88,0.0447,0.0664,0.0027,apb_417939247rwp02300060000_______p1.csv,230
1.92,6.5,7.82,42.55,0.63,6.92,0.97,0.62,8.06,1.38,0.26,0.28,21.67,0.0499,0.0601,0.0474,apb_417934656rwp02300060000_______p1.csv,230
2.7,6.78,8.58,42.68,0.25,6.09,0.63,0.69,8.15,1.32,0.43,0.15,21.1,0.0489,0.0678,0.0176,apb_417931568rwp02300060000_______p1.csv,230
2.32,6.6,8.44,43.37,0.5,5.27,0.5,0.69,7.9,1.31,0.32,0.31,22.15,0.0454,0.0626,0.0159,apb_417936188rwp02300060000_______p1.csv,230
2.32,6.67,8.67,43.44,0.57,5.42,0.5,0.62,7.94,1.27,0.36,0.26,21.64,0.0422,0.074,0.0071,apb_417937717rwp02300060000_______p1.csv,230
2.32,6.57,8.33,43.99,0.39,5.86,0.78,0.64,7.3,1.35,0.39,0.29,21.38,0.0532,0.0745,0.0205,apb_417933127rwp02300060000_______p1.csv,230
2.26,6.49,8.21,42.49,0.59,5.63,0.47,0.63,8.02,1.38,0.39,0.35,22.77,0.0522,0.0675,0.0039,apb_417955384rwp02310060000_______p1.csv,231
2.21,6.98,8.18,42.89,0.83,6.26,1.14,0.51,6.57,1.29,0.35,0.3,22.2,0.0426,0.0621,0.0456,apb_421486407rwp02700060000_______p1.csv,270
2.17,6.68,8.52,43.27,0.64,6.54,1.04,0.69,6.05,1.34,0.24,0.25,22.28,0.0387,0.0591,0.0297,apb_421481807rwp02700060000_______p1.csv,270
2.25,6.76,8.7,43.63,0.7,6.01,1.07,0.59,6.81,1.22,0.37,0.29,21.22,0.052,0.0651,0.0363,apb_421484874rwp02700060000_______p1.csv,270
1.73,8.05,6.73,43.79,0.6,4.81,1.41,0.38,4.46,1.15,0.22,0.35,25.99,0.0546,0.0724,0.054,apb_421483339rwp02700060000_______p1.csv,270
1.94,7.7,7.27,42.92,0.71,5.61,1.31,0.44,5.12,1.2,0.27,0.34,24.83,0.0542,0.0669,0.0473,apb_421512512rwp02710060000_______p1.csv,271
2.19,6.78,8.51,44.29,0.88,4.97,1.24,0.6,6.01,1.3,0.28,0.26,22.45,0.0517,0.062,0.0087,apb_421993185rwp02760060082_______p1.csv,276
2.11,6.7,8.36,44.65,0.81,4.61,1.32,0.55,6.06,1.29,0.35,0.29,22.62,0.0529,0.0634,0.0091,apb_422130832rwp02780060082_______p1.csv,278
2.1,6.85,8.36,45,0.37,2.67,1.22,0.54,6.33,1.23,0.28,0.2,24.45,0.0643,0.0697,0.0087,apb_422635407rwp02830060082_______p1.csv,283
2.32,6.61,8.37,45.68,0.29,2.18,1.22,0.63,6.43,1.36,0.29,0.32,23.79,0.0556,0.0661,0.0144,apb_422636994rwp02830060082_______p1.csv,283
2.26,6.68,8.12,44.2,0.49,2.64,1.25,0.57,6.49,1.33,0.34,0.32,24.9,0.0648,0.0719,0.0115,apb_423020067rwp02880060082_______p1.csv,288
2.17,6.65,9,43.21,0.72,5.9,1.08,0.66,6.37,1.33,0.4,0.34,21.82,0.062,0.067,0.0095,apb_423343606rwp02910060082_______p1.csv,291
2.72,7.19,9.44,47,0.76,1.66,1.17,0.75,5.53,1.23,0.34,0.29,21.65,0.0495,0.0634,0.0109,apb_423361945rwp02910060082_______p1.csv,291
3.92,5.09,11.93,48.38,0.66,2.69,0.83,1.79,6.42,1.09,0.32,0.33,16.31,0.0154,0.0408,0.009,apb_424526250rwp03050060450_______p1.csv,305
2.47,7.09,8.32,41.96,0.56,6,0.97,0.51,6.87,1.05,0.72,0.44,22.76,0.0147,0.0828,0.038,apb_426103980rwp03220060804_______p1.csv,322
2.32,6.96,8.23,42.19,0.52,5.54,0.99,0.51,7.07,1.06,0.7,0.44,23.24,0.0162,0.0766,0.0377,apb_426105519rwp03220060804_______p1.csv,322
2.32,6.82,8.37,42.35,0.6,5.63,1.01,0.55,6.98,1.13,0.7,0.38,22.92,0.0172,0.0851,0.0395,apb_426102426rwp03220060804_______p1.csv,322
2.47,6.97,8.45,42.42,0.53,5.62,0.96,0.52,6.97,1.03,0.69,0.41,22.71,0.0157,0.0768,0.0374,apb_426100883rwp03220060804_______p1.csv,322
2.56,6.89,8.74,42.18,0.64,5.56,1,0.56,7.17,1.05,0.7,0.39,22.3,0.0165,0.0799,0.036,apb_426124444rwp03230060804_______p1.csv,323
2.57,6.43,8.94,42.3,0.67,5.76,1.02,0.88,6.67,1.16,0.58,0.38,22.4,0.0196,0.0787,0.0139,apb_426205423rwp03230060804_______p1.csv,323
2.88,6.14,9.91,44.5,0.64,4.86,0.73,1.3,6.62,1.23,0.53,0.39,20.09,0.0196,0.0664,0.0053,apb_426163787rwp03230060804_______p1.csv,323
4.84,4.66,13.76,49.41,0.73,3.9,0.65,1.67,7.23,0.76,0.06,0.27,11.96,0.0069,0.03,0.0015,apb_429504116rwp03610120000_______p1.csv,361
3.21,7.27,10.88,45.41,0.96,6.89,0.99,0.84,7.2,1.03,0.25,0.29,14.62,0.034,0.0383,0.0048,apb_430653584rwp03740140000_______p1.csv,374
4.12,4.41,11.61,53.09,1.45,4.46,0.85,0.92,7.19,1.35,0.09,0.21,10.16,0.0036,0.0084,0.0035,apb_431897719rwp03880150998_______p1.csv,388
4.24,3.19,14.39,49.32,0.6,4.48,1.46,0.58,5.53,0.53,0,0.12,15.31,0.0079,0.0246,0.0139,apb_432465123rwp03940160050_______p1.csv,394
3.96,3.67,13.59,46.89,0.69,5.68,1.75,0.57,5.44,0.7,0.03,0.12,16.82,0.0067,0.0205,0.0172,apb_432610346rwp03960160050_______p1.csv,396
3.07,7.76,10.25,45.19,0.99,7.98,1.13,0.81,6.97,0.85,0.22,0.23,14.4,0.0215,0.0625,0.0051,apb_432935921rwp03990160148_______p1.csv,399
3.31,7.17,10.84,45.81,0.93,7.78,0.97,0.97,7.46,0.94,0.19,0.27,13.2,0.0214,0.0782,0.001,apb_432943701rwp03990160148_______p1.csv,399
3.87,6.14,12.29,46.18,0.86,6.08,0.98,1.08,6.78,0.86,0.16,0.4,14.15,0.0094,0.0731,0.0057,apb_432938782rwp03990160148_______p1.csv,399
3.45,6.67,11.37,46.28,1.01,7.12,0.99,1.14,6.77,0.88,0.13,0.22,13.8,0.0156,0.0801,0.0044,apb_432941239rwp03990160148_______p1.csv,399
3.19,6.85,11.03,45.78,0.92,7.07,1.36,0.76,6.43,0.8,0.12,0.23,15.22,0.0154,0.0759,0.0167,apb_433028445rwp04000160148_______p1.csv,400
3.43,6.33,12.04,46.29,0.83,6.54,1.49,0.65,6.09,0.8,0.07,0.22,14.96,0.0123,0.0749,0.0166,apb_433025996rwp04000160148_______p1.csv,400
3.89,5.64,13.64,47.53,0.88,6.62,1.34,0.85,6.53,0.71,0.09,0.16,11.93,0.0102,0.0621,0.0114,apb_432964693rwp04000160148_______p1.csv,400
3.15,7.21,10.95,44.99,0.99,7.35,1.18,0.73,7.07,0.87,0.19,0.25,14.86,0.0214,0.0688,0.0144,apb_433048360rwp04010160148_______p1.csv,401
2.48,8.35,8.47,41.68,0.98,7.04,1.1,1.04,6.42,1.07,0.52,0.34,20.3,0.0423,0.1098,0.0182,apb_436731791rwp04420220000_______p1.csv,442
2.45,8.37,8.34,43.07,0.77,5.74,1.24,2.52,5.72,0.86,0.48,0.41,19.81,0.0282,0.1208,0.011,apb_436781880rwp04430220000_______p1.csv,443
2.7,8.71,7.98,43.01,0.75,3.29,0.95,1.96,6.13,0.89,0.54,0.47,22.35,0.036,0.1214,0.0176,apb_439391392rwp04720240000_______p1.csv,472
2.63,8.16,8.57,41.79,0.94,6.53,0.95,1.24,6.32,1.01,0.51,0.4,20.72,0.0386,0.1102,0.0035,apb_440548434rwp04850240366_______p1.csv,485
2.61,8.36,8.66,42.15,0.94,6.43,0.94,1.37,6.22,1.01,0.41,0.4,20.28,0.0374,0.1176,0.0038,apb_440547441rwp04850240366_______p1.csv,485
3.19,9.41,8.69,41.64,0.89,4.67,1.26,0.62,6.35,1.1,0.45,0.31,21.18,0.0845,0.0872,0.0071,apb_440725028rwp04870240366_______p1.csv,487
2.9,9.08,8.78,41.93,0.99,5.05,1.24,0.7,6.62,0.92,0.38,0.3,20.86,0.0685,0.09,0.0059,apb_440723217rwp04870240366_______p1.csv,487
3.01,9.32,8.63,41.13,0.86,4.61,1.19,0.62,6.66,0.99,0.46,0.29,21.95,0.0932,0.0921,0.0066,apb_440781134rwp04880240366_______p1.csv,488
3.98,5.32,12,49.91,0.89,5.13,1.02,3.44,6.48,0.58,0.1,0.26,10.75,0.0129,0.079,0.0042,apb_442146515rwp05030250000_______p1.csv,503
6.78,3.41,15.37,49.93,0.93,2.32,1.11,2.94,5.76,0.72,0.05,0.25,10.27,0.0041,0.0924,0.0082,apb_442195119rwp05040250000_______p1.csv,504
5.06,4.24,14.97,50.85,0.69,4.23,0.7,1.21,6.16,0.56,0.07,0.14,10.92,0.0102,0.0335,0.0018,apb_442409261rwp05060250154_______p1.csv,506
5.42,3.08,16.22,51.22,0.62,2.13,0.89,2.23,5.71,0.54,0.07,0.18,11.48,0.0097,0.0617,0.0033,apb_442766061rwp05100250312_______p1.csv,510
5.01,3.69,15.18,49.34,0.78,3.27,0.88,1.89,6.15,1.19,0.04,0.27,12.19,0.0131,0.0254,0.0051,apb_442821142rwp05110250312_______p1.csv,511
4.81,3.66,15.28,51.94,0.64,3.56,0.66,2.48,5.46,0.71,0.04,0.17,10.47,0.0048,0.0473,0.0011,apb_442979404rwp05120250510_______p1.csv,512
5.19,3.41,16.8,53.98,0.61,4.43,0.69,1.36,7.16,0.35,0.06,0.13,5.73,0.0043,0.0215,0.0005,apb_442945848rwp05120250510_______p1.csv,512
4.21,2.91,9.46,56.78,0.62,3.52,0.84,3.04,3.6,0.99,0.03,0.2,13.65,0.0073,0.0219,0.0081,apb_443353001rwp05170250750_______p1.csv,517
2.66,8.58,8.94,42.68,0.93,6.04,0.8,0.48,7.09,1.03,0.49,0.41,19.7,0.0646,0.031,0.0041,apb_443974925rwp05240251296_______p1.csv,524
4.21,3.82,15.69,50.74,0.91,5.7,0.87,0.65,8.03,0.83,0.07,0.16,8.24,0.0027,0.0121,0.005,apb_444185702rwp05260251496_______p1.csv,526
2.86,8.31,9.23,43.15,1.01,6.94,0.94,0.63,6.91,1.01,0.41,0.39,18.07,0.0499,0.0376,0.005,apb_444629929rwp05310260184_______p1.csv,531
2.64,8.72,9.2,43.66,0.95,6.18,0.79,0.47,7.07,1.07,0.48,0.39,18.23,0.0452,0.0309,0.0043,apb_444686068rwp05320260184_______p1.csv,532
2.45,8.6,7.43,39.66,0.88,7.34,1.24,1.01,5.72,1,0.38,0.5,23.44,0.0385,0.1352,0.1017,apb_445168339rwp05370260366_______p1.csv,537
2.34,8.77,7.38,39.06,0.9,8.43,1.74,0.88,5.52,0.94,0.4,0.51,22.82,0.0395,0.1067,0.0733,apb_445217927rwp05380260366_______p1.csv,538
4.09,4.92,12.63,46.36,0.62,4.26,1.35,3.58,5.14,0.81,0.28,0.24,15.53,0.0138,0.1057,0.009,apb_446316920rwp05500271004_______p1.csv,550
2.83,8.18,9.34,43.83,0.97,6.97,0.95,0.62,7.12,0.97,0.4,0.37,17.3,0.0433,0.0382,0.0075,apb_447072177rwp05590280634_______p1.csv,559
4.08,4.03,8.55,45.42,0.67,3.21,0.64,1.47,3.67,0.67,0.05,0.26,27.15,0.0194,0.0232,0.0183,apb_447204067rwp05600280914_______p1.csv,560
6.22,2.92,16.93,53.13,0.82,2.58,0.97,2.16,5.54,0.36,0.04,0.18,7.84,0.0043,0.1409,0.0089,apb_447558500rwp05640290000_______p1.csv,564
1.78,9.33,7.83,41.26,0.63,3.7,0.92,2.71,6.41,0.85,0.72,0.42,23.14,0.0235,0.1906,0.0112,apb_449295235rwp05840300786_______p1.csv,584
2.39,8.26,8.14,40.65,0.9,8.36,1.15,1.94,5.85,0.9,0.37,0.35,20.37,0.0424,0.1468,0.0808,apb_449390674rwp05850300786_______p1.csv,585
2.42,8.37,7.9,39.87,0.9,7.17,1.11,1.23,6.37,0.91,0.62,0.41,22.43,0.0339,0.1343,0.0619,apb_449479384rwp05860300786_______p1.csv,586
1.95,10.6,7.95,43.13,0.71,7.28,1.86,2.38,5.5,0.96,0.55,0.19,16.61,0.0316,0.0937,0.0568,apb_450893137rwp06020310724_______p1.csv,602
2.68,8.82,8.76,42.29,0.89,5.82,0.76,0.45,6.99,1.05,0.52,0.42,20.4,0.0557,0.0283,0.0023,apb_451248656rwp06060311094_______p1.csv,606
2.09,9.18,6.83,39.84,0.9,6.42,1.33,1.71,5.49,1.02,0.41,0.65,23.38,0.041,0.3584,0.1819,apb_451820687rwp06120311330_______p1.csv,612
